title,artist,url,youtube_id,thumbnail,qr,embed,id
The Gift,Hazel James,https://youtu.be/2Ts30qloOcM,2Ts30qloOcM,https://img.youtube.com/vi/2Ts30qloOcM/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2F2Ts30qloOcM,https://www.youtube-nocookie.com/embed/2Ts30qloOcM,the-gift
Too Sad A Song,Sarie Teichman,https://youtu.be/AQ7dhtJdVxA,AQ7dhtJdVxA,https://img.youtube.com/vi/AQ7dhtJdVxA/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FAQ7dhtJdVxA,https://www.youtube-nocookie.com/embed/AQ7dhtJdVxA,too-sad-a-song
From Hong Kong to Chinatown,Winnie Lau,https://youtu.be/zohS9n1lwQE,zohS9n1lwQE,https://img.youtube.com/vi/zohS9n1lwQE/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FzohS9n1lwQE,https://www.youtube-nocookie.com/embed/zohS9n1lwQE,from-hong-kong-to-chinatown
Free,Andre Maldonado,https://youtu.be/FxYOj01cwXQ,FxYOj01cwXQ,https://img.youtube.com/vi/FxYOj01cwXQ/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FFxYOj01cwXQ,https://www.youtube-nocookie.com/embed/FxYOj01cwXQ,free
The Return,Joann Chan,https://youtu.be/s8P8FOkrhI0,s8P8FOkrhI0,https://img.youtube.com/vi/s8P8FOkrhI0/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2Fs8P8FOkrhI0,https://www.youtube-nocookie.com/embed/s8P8FOkrhI0,the-return
Dear Titi,Monalisa Ortiz,https://youtu.be/xRLOLD-nPuc,xRLOLD-nPuc,https://img.youtube.com/vi/xRLOLD-nPuc/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FxRLOLD-nPuc,https://www.youtube-nocookie.com/embed/xRLOLD-nPuc,dear-titi
It’s Okay,Judith Mendez-Maldonado,https://youtu.be/52vCyCoxBhM,52vCyCoxBhM,https://img.youtube.com/vi/52vCyCoxBhM/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2F52vCyCoxBhM,https://www.youtube-nocookie.com/embed/52vCyCoxBhM,its-okay
Life,Bonita Fraser,https://youtu.be/KPrf306BY58,KPrf306BY58,https://img.youtube.com/vi/KPrf306BY58/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FKPrf306BY58,https://www.youtube-nocookie.com/embed/KPrf306BY58,life
God Was And Is Great To Me,Sonia Tovar,https://youtu.be/G2k3Tmwco_Q,G2k3Tmwco_Q,https://img.youtube.com/vi/G2k3Tmwco_Q/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FG2k3Tmwco_Q,https://www.youtube-nocookie.com/embed/G2k3Tmwco_Q,god-was-and-is-great-to-me
Shuffle Man,Lisa Davis,https://youtu.be/GioSl_wvmAk,GioSl_wvmAk,https://img.youtube.com/vi/GioSl_wvmAk/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FGioSl_wvmAk,https://www.youtube-nocookie.com/embed/GioSl_wvmAk,shuffle-man
Born After 60,Rose X,https://youtu.be/N-qR--bp4P0,N-qR--bp4P0,https://img.youtube.com/vi/N-qR--bp4P0/hqdefault.jpg,https://api.qrserver.com/v1/create-qr-code/?size=220x220&margin=8&data=https%3A%2F%2Fyoutu.be%2FN-qR--bp4P0,https://www.youtube-nocookie.com/embed/N-qR--bp4P0,born-after-60
